"","group","Pig","Sample.type","Day","Treatment","All","Order","value","value2"
"50","X9P274R2Dm3",274,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.204176334106729,1.02088167053364
"51","X9P275R2D7",275,"Fecal or Fecal swab","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.400466562986003,4.00466562986003
"52","X9P275R2Dm3",275,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.0825617283950617,0.412808641975309
"53","X9P276R2Dm3",276,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.0854700854700855,0.427350427350427
"54","X9P277R2Dm3",277,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.21998450813323,1.09992254066615
"55","X9P278R2D0",278,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Selenomonadales",0.406949806949807,8.13899613899614
"56","X9P278R2Dm3",278,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.346954510408635,1.73477255204318
"57","X9P279R2Dm3",279,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.110681114551084,0.553405572755418
"58","X9P280R2D0",280,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Selenomonadales",0.429452582883577,8.58905165767155
"59","X9P280R2Dm3",280,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.231895223420647,1.15947611710324
"60","X9P281R2D7",281,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.133281972265023,1.33281972265023
"61","X9P281R2Dm3",281,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.253858024691358,1.26929012345679
"62","X9P282R2D7",282,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.25635103926097,2.5635103926097
"63","X9P282R2Dm3",282,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.163076923076923,0.815384615384615
"64","X9P283R2D7",283,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.224191063174114,2.24191063174114
"65","X9P283R2Dm3",283,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.209266409266409,1.04633204633205
"66","X9P284R2D0",284,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Selenomonadales",0.202463433410316,4.04926866820631
"67","X9P284R2D7",284,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.158828064764842,1.58828064764842
"68","X9P284R2Dm3",284,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.189814814814815,0.949074074074074
"69","X9P285R2D7",285,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Selenomonadales",0.251732101616628,2.51732101616628
"70","X9P285R2Dm3",285,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Selenomonadales",0.0550387596899225,0.275193798449612
"71","X9P286R3D0",286,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.053970701619121,0.415159243224008
"72","X9P286R3Dm3",286,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.202775636083269,1.26734772552043
"73","X9P287R3Dm3",287,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.0926070038910506,0.578793774319066
"74","X9P288R3Dm3",288,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.237471087124133,1.48419429452583
"75","X9P289R3Dm3",289,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.118827160493827,0.74266975308642
"76","X9P290R3D0",290,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.547913446676971,4.21471882059208
"77","X9P290R3Dm3",290,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.198757763975155,1.24223602484472
"78","X9P291R3D0",291,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.267540478026214,2.05800367712473
"79","X9P291R3D7",291,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.318181818181818,3.18181818181818
"80","X9P292R3D7",292,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.313755795981453,3.13755795981453
"81","X9P292R3Dm3",292,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.194573643410853,1.21608527131783
"82","X9P293R3D0",293,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.138781804163454,1.06755233971888
"83","X9P293R3D7",293,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.322779922779923,3.22779922779923
"84","X9P293R3Dm3",293,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.288461538461538,1.80288461538462
"85","X9P294R3D7",294,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.302397525135344,3.02397525135344
"86","X9P294R3Dm3",294,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.218798151001541,1.36748844375963
"87","X9P295R3D0",295,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.0277777777777778,0.213675213675214
"88","X9P295R3D7",295,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.114285714285714,1.14285714285714
"89","X9P295R3Dm3",295,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.207852193995381,1.29907621247113
"90","X9P296R3D0",296,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.605546995377504,4.65805381059618
"91","X9P296R3Dm3",296,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.265227447956823,1.65767154973015
"92","X9P297R3D0",297,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.600154083204931,4.61656987080716
"93","X9P299R3D0",299,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.115740740740741,0.89031339031339
"94","X9P299R3Dm3",299,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.235929067077872,1.4745566692367
"95","X9P300R3D0",300,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.320769230769231,2.46745562130178
"96","X9P300R3Dm3",300,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.266975308641975,1.66859567901235
"97","X9P301R3D0",301,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.186440677966102,1.43415906127771
"98","X9P301R3D7",301,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.275808936825886,2.75808936825886
"99","X9P301R3Dm3",301,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.147919876733436,0.924499229583975
"100","X9P302R3D0",302,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.261037955073586,2.00798426979682
"101","X9P302R3D7",302,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.218266253869969,2.18266253869969
"102","X9P302R3Dm3",302,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.0960495739736638,0.600309837335399
"103","X9P303R3D7",303,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.285273708558211,2.85273708558211
"104","X9P304R3D0",304,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.173076923076923,1.33136094674556
"105","X9P304R3D7",304,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.348998459167951,3.48998459167951
"106","X9P304R3Dm3",304,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.249614791987673,1.56009244992296
"107","X9P305R3D0",305,"Fecal or Fecal swab","0","INF_InjOTC","0_INF_InjOTC","Selenomonadales",0.392307692307692,3.01775147928994
"108","X9P305R3D7",305,"Fecal","7","INF_InjOTC","7_INF_InjOTC","Selenomonadales",0.23728813559322,2.3728813559322
"109","X9P305R3Dm3",305,"Fecal Swab","-3","INF_InjOTC","-3_INF_InjOTC","Selenomonadales",0.167180277349769,1.04487673343606
"110","X9P306R4Dm3",306,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.269558481797057,1.6847405112316
"111","X9P307R4Dm3",307,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.0412130637636081,0.257581648522551
"112","X9P308R4D0",308,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Selenomonadales",0.139516757599376,1.99309653713395
"113","X9P308R4Dm3",308,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.179427687548337,1.12142304717711
"114","X9P309R4D0",309,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Selenomonadales",0.123941493456505,1.77059276366436
"115","X9P310R4D0",310,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Selenomonadales",0.422187981510015,6.03125687871451
"116","X9P310R4Dm3",310,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.195366795366795,1.22104247104247
"117","X9P311R4D7",311,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.240219092331768,2.40219092331768
"118","X9P311R4Dm3",311,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.163947163947164,1.02466977466977
"119","X9P312R4D7",312,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.441698841698842,4.41698841698842
"120","X9P312R4Dm3",312,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.293890177880897,1.83681361175561
"121","X9P313R4D7",313,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.304849884526559,3.04849884526559
"122","X9P313R4Dm3",313,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.0618238021638331,0.386398763523957
"123","X9P314R4D7",314,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.563271604938272,5.63271604938272
"124","X9P315R4D7",315,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.506153846153846,5.06153846153846
"125","X9P316R4Dm3",316,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.14980694980695,0.936293436293436
"126","X9P317R4D0",317,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Selenomonadales",0.203389830508475,2.90556900726392
"127","X9P317R4Dm3",317,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.20508866615266,1.28180416345412
"128","X9P319R4Dm3",319,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.163312693498452,1.02070433436533
"129","X9P320R4D0",320,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Selenomonadales",0.24788298691301,3.54118552732871
"130","X9P320R4Dm3",320,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.351580570547417,2.19737856592136
"131","X9P321R4D7",321,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.301930501930502,3.01930501930502
"132","X9P321R4Dm3",321,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.165501165501166,1.03438228438228
"133","X9P322R4D0",322,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Selenomonadales",0.687740940632228,9.8248705804604
"134","X9P322R4D7",322,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.449922958397535,4.49922958397535
"135","X9P322R4Dm3",322,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.197368421052632,1.23355263157895
"136","X9P323R4D7",323,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.125290023201856,1.25290023201856
"137","X9P323R4Dm3",323,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.080370942812983,0.502318392581144
"138","X9P324R4D0",324,"Fecal or Fecal swab","0","INF_NoTRMT","0_INF_NoTRMT","Selenomonadales",0.095422808378588,1.36318297683697
"139","X9P324R4D7",324,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.288699690402477,2.88699690402477
"140","X9P324R4Dm3",324,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.1671826625387,1.04489164086687
"141","X9P325R4D7",325,"Fecal","7","INF_NoTRMT","7_INF_NoTRMT","Selenomonadales",0.129961089494163,1.29961089494163
"142","X9P325R4Dm3",325,"Fecal Swab","-3","INF_NoTRMT","-3_INF_NoTRMT","Selenomonadales",0.06858924395947,0.428682774746687
"143","X9P246R1Dm3",246,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.29320987654321,1.62894375857339
"144","X9P247R1Dm3",247,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.391472868217054,2.17484926787252
"145","X9P248R1Dm3",248,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.575057736720554,3.19476520400308
"146","X9P249R1Dm3",249,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.334618350038551,1.8589908335475
"147","X9P250R1D0",250,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.333076923076923,3.7008547008547
"148","X9P250R1Dm3",250,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.433101314771848,2.40611841539916
"149","X9P251R1D7",251,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.0649651972157773,0.812064965197216
"150","X9P251R1Dm3",251,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.355984555984556,1.97769197769198
"151","X9P252R1Dm3",252,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.397366382649109,2.20759101471727
"152","X9P253R1D7",253,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.198455598455598,2.48069498069498
"153","X9P253R1Dm3",253,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.307513555383424,1.70840864101902
"154","X9P254R1Dm3",254,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.445652173913043,2.47584541062802
"155","X9P255R1D0",255,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.321538461538462,3.57264957264957
"156","X9P255R1D7",255,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.25674633770239,3.20932922127988
"157","X9P255R1Dm3",255,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.445216049382716,2.47342249657064
"158","X9P257R1D0",257,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.228859581070597,2.54288423411775
"159","X9P257R1Dm3",257,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.319938176197836,1.7774343122102
"160","X9P258R1D0",258,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.206923076923077,2.2991452991453
"161","X9P258R1Dm3",258,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.329475308641975,1.83041838134431
"162","X9P259R1D0",259,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.308108108108108,3.42342342342342
"163","X9P259R1Dm3",259,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.386451116243264,2.14695064579591
"164","X9P261R1D0",261,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.525868725868726,5.84298584298584
"165","X9P261R1D7",261,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.274343122102009,3.42928902627512
"166","X9P261R1Dm3",261,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.358737490377213,1.99298605765118
"167","X9P262R1D7",262,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.202004626060139,2.52505782575173
"168","X9P262R1Dm3",262,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.416537867078825,2.31409926154903
"169","X9P263R1D0",263,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.204791344667697,2.27545938519663
"170","X9P263R1D7",263,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.212307692307692,2.65384615384615
"171","X9P263R1Dm3",263,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.292212798766384,1.62340443759102
"172","X9P264R1D0",264,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.0685142417244034,0.761269352493371
"173","X9P264R1D7",264,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.170524691358025,2.13155864197531
"174","X9P264R1Dm3",264,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.264049268668206,1.46694038149004
"175","X9P265R1D0",265,"Fecal or Fecal swab","0","NONINF_NoTRMT","0_NONINF_NoTRMT","Bacteroidales",0.443846153846154,4.93162393162393
"176","X9P265R1D7",265,"Fecal","7","NONINF_NoTRMT","7_NONINF_NoTRMT","Bacteroidales",0.281972265023112,3.52465331278891
"177","X9P265R1Dm3",265,"Fecal Swab","-3","NONINF_NoTRMT","-3_NONINF_NoTRMT","Bacteroidales",0.33359133126935,1.85328517371861
"178","X9P266R2Dm3",266,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Bacteroidales",0.223420647149461,1.1171032357473
"179","X9P267R2D0",267,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Bacteroidales",0.219135802469136,4.38271604938272
"180","X9P267R2Dm3",267,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Bacteroidales",0.461003861003861,2.3050193050193
"181","X9P268R2Dm3",268,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Bacteroidales",0.364687740940632,1.82343870470316
"182","X9P269R2D0",269,"Fecal or Fecal swab","0","INF_OralOTC","0_INF_OralOTC","Bacteroidales",0.297921478060046,5.95842956120092
"183","X9P269R2Dm3",269,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Bacteroidales",0.369195046439628,1.84597523219814
"184","X9P270R2Dm3",270,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Bacteroidales",0.423076923076923,2.11538461538462
"185","X9P271R2D7",271,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Bacteroidales",0.228989976869699,2.28989976869699
"186","X9P271R2Dm3",271,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Bacteroidales",0.483024691358025,2.41512345679012
"187","X9P272R2D7",272,"Fecal","7","INF_OralOTC","7_INF_OralOTC","Bacteroidales",0.272376543209877,2.72376543209877
"188","X9P272R2Dm3",272,"Fecal Swab","-3","INF_OralOTC","-3_INF_OralOTC","Bacteroidales",0.459167950693374,2.29583975346687
